Aggregate,Scenario,BM,Label,Mean,Median,p10,p25,p75,p90,Stock
SkeenaWild,LTAvg,Smsy.c,Bab-EW,59635,55229,42802,47976,65702,82710,Babine Early Wild
SkeenaWild,LTAvg,Smsy.c,SwanSteph,30785,29984,22481,25341,35141,40783,Swan/Stephens
SkeenaWild,LTAvg,Smsy.c,Bab-MW,22006,20855,17204,18699,23901,28241,Babine Mid Wild
SkeenaWild,LTAvg,Smsy.c,Kitsumk,15205,14966,13373,14038,16080,17241,Kitsumkalum
SkeenaWild,LTAvg,Smsy.c,Alastair,13820,13576,11951,12596,14754,15971,Alastair
SkeenaWild,LTAvg,Smsy.c,Kitwanga,16188,13097,4994,7295,23049,32769,Kitwanga
SkeenaWild,LTAvg,Smsy.c,Morice,12514,12246,10357,11141,13526,14986,Morice
SkeenaWild,LTAvg,Smsy.c,Lakelse,11325,11064,9573,10232,12115,13346,Lakelse
SkeenaWild,LTAvg,Smsy.c,Bear,4777,4708,4110,4363,5127,5543,Bear
SkeenaWild,LTAvg,Smsy.c,Johnston,3459,3415,2965,3175,3713,3987,Johnston
SkeenaWild,LTAvg,Smsy.c,Mcdonell,2375,2352,2096,2200,2502,2697,Mcdonell
SkeenaWild,LTAvg,Smsy.c,Asitka,1990,1343,811,970,2290,4419,Asitka
SkeenaWild,LTAvg,Smsy.c,Sustut,870,849,712,772,947,1058,Sustut
SkeenaWild,LTAvg,Smsy.c,Motase,726,635,463,527,849,1146,Motase
SkeenaWild,LTAvg,Smsy.c,Slamg,297,294,249,267,320,349,Slamgeesh
SkeenaWild,LTAvg,Smsy.c,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,LTAvg,Smsy.c,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
SkeenaWild,LTAvg,Smsy.c,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,LTAvg,Smsy.c,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,LTAvg,Smsy.c,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,LTAvg,Smsy.c,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
SkeenaWild,Now,Smsy.c,Agg Fit,264384,234245,121567,173977,315902,444184,NA
SkeenaWild,Now,Smsy.c,Sum,327575,309238,NA,NA,NA,NA,NA
SkeenaWild,Now,Smsy.c,Sum-Agg,63191,74993,NA,NA,NA,NA,NA
SkeenaWild,Now,Smsy.c,Bab-LW,178372,165820,103856,132208,212106,270902,Babine Late Wild
SkeenaWild,Now,Smsy.c,Bab-EW,33600,31403,17425,24059,40336,52688,Babine Early Wild
SkeenaWild,Now,Smsy.c,Bab-MW,20785,19920,15508,17513,23017,27050,Babine Mid Wild
SkeenaWild,Now,Smsy.c,Kitwanga,17297,15896,5565,8354,23709,32098,Kitwanga
SkeenaWild,Now,Smsy.c,Kitsumk,14473,14379,13039,13661,15198,16000,Kitsumkalum
SkeenaWild,Now,Smsy.c,Alastair,13556,14237,7908,11774,16068,17917,Alastair
SkeenaWild,Now,Smsy.c,SwanSteph,14792,13733,7839,10462,17997,23575,Swan/Stephens
SkeenaWild,Now,Smsy.c,Morice,10695,10496,8506,9469,11693,13014,Morice
SkeenaWild,Now,Smsy.c,Lakelse,9407,9589,5145,7157,11705,13350,Lakelse
SkeenaWild,Now,Smsy.c,Bear,4790,4749,4181,4427,5078,5511,Bear
SkeenaWild,Now,Smsy.c,Johnston,3637,3582,3060,3279,3944,4356,Johnston
SkeenaWild,Now,Smsy.c,Mcdonell,2367,2343,2102,2200,2489,2661,Mcdonell
SkeenaWild,Now,Smsy.c,Asitka,1927,1330,794,944,2193,4292,Asitka
SkeenaWild,Now,Smsy.c,Sustut,866,849,713,770,944,1050,Sustut
SkeenaWild,Now,Smsy.c,Motase,726,635,464,533,849,1112,Motase
SkeenaWild,Now,Smsy.c,Slamg,285,277,241,255,309,341,Slamgeesh
SkeenaWild,Now,Smsy.c,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,Now,Smsy.c,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
SkeenaWild,Now,Smsy.c,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,Now,Smsy.c,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,Now,Smsy.c,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,Now,Smsy.c,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
SkeenaWild,LTAvg,Smax,Agg Fit,903469,690556,402363,488070,1111580,1796648,NA
SkeenaWild,LTAvg,Smax,Sum,848137,812951,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Smax,Sum-Agg,-55332,122395,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Smax,Bab-LW,525207,508554,313839,391326,644857,763824,Babine Late Wild
SkeenaWild,LTAvg,Smax,Bab-EW,104258,95071,65871,77484,119411,156018,Babine Early Wild
SkeenaWild,LTAvg,Smax,SwanSteph,60388,60297,40485,49119,71635,81333,Swan/Stephens
SkeenaWild,LTAvg,Smax,Bab-MW,32014,29842,23389,26048,35611,42979,Babine Mid Wild
