Prod,Aggregate,U,NumSamples,NumNA,NumStksOverfished_p10,NumStksOverfished_p25,NumStksOverfished_Med,NumStksOverfished_p75,NumStksOverfished_p90,NumStksExtirpated_p10,NumStksExtirpated_p25,NumStksExtirpated_Med,NumStksExtirpated_p75,NumStksExtirpated_p90,NumStksBelowSgen_p10,NumStksBelowSgen_p25,NumStksBelowSgen_Med,NumStksBelowSgen_p75,NumStksBelowSgen_p90,EqSpn_p10,EqSpn_p25,EqSpn_Med,EqSpn_p75,EqSpn_p90,EqCt_p10,EqCt_p25,EqCt_Med,EqCt_p75,EqCt_p90,NumStksOverfishedv2p20,NumStksExtirpatedv2p20,NumStksBelowSgenv2p20,NumStksOverfishedv2p40,NumStksExtirpatedv2p40,NumStksBelowSgenv2p40
LTAvg,Nass,0.45,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,271993.8917,300516.0106,333812.8996,369649.6295,407378.9093,222540.4568,245876.736,273119.6451,302440.6059,333310.0167,1,0,0,0,0,0
LTAvg,Nass,0.46,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,265646.7018,294869.5743,327124.722,362931.1062,399636.4913,226291.6349,251185.1929,278661.8002,309163.5349,340431.0851,1,0,0,1,0,0
LTAvg,Nass,0.47,2000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,259500.3329,288877.8137,320748.5638,355657.6831,391983.3927,230122.9367,256174.665,284437.4057,315394.5492,347607.9143,1,0,0,1,0,0
LTAvg,Nass,0.48,2000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,254287.195,282549.1349,314054.9707,348225.6262,384179.2134,234726.6415,260814.5861,289896.896,321439.0396,354626.9663,1,0,0,1,0,0
LTAvg,Nass,0.49,2000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,247637.6518,275777.0321,307246.1004,340619.1067,375972.9668,237926.3714,264962.2465,295197.2337,327261.4947,361228.9289,1,0,0,1,0,0
LTAvg,Nass,0.5,2000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,240871.9546,269019.8655,300215.2323,333038.4804,367621.3043,240871.9546,269019.8655,300215.2323,333038.4804,367621.3043,1,0,0,1,0,0
LTAvg,Nass,0.51,2000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,234715.5728,262016.0376,292981.7323,324865.1638,359075.6532,244295.8003,272710.5698,304940.1703,338124.9664,373731.8024,1,0,0,1,0,0
LTAvg,Nass,0.52,2000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,228041.14,255388.1897,285640.746,317063.3124,350659.557,247044.5683,276670.5389,309444.1415,343485.2551,379881.1868,1,0,1,1,0,0
LTAvg,Nass,0.53,2000,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,220967.8812,248180.211,277928.8193,308952.4559,341994.4056,249176.5468,279862.7911,313409.0941,348393.195,385653.2658,1,0,1,1,0,0
LTAvg,Nass,0.54,2000,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,1,214123.9211,241262.7754,270323.5314,300562.3808,333152.6405,251362.8639,283221.519,317336.3195,352834.0992,391092.2302,1,0,1,1,0,0
LTAvg,Nass,0.55,2000,0,0,1,1,1,2,0,0,0,0,1,0,0,0,1,1,207260.6884,234322.3792,262657.4147,292569.6821,324046.733,253318.6191,286394.0191,321025.7291,357585.167,396057.1181,2,0,1,1,0,0
LTAvg,Nass,0.56,2000,0,0,1,1,2,2,0,0,0,0,1,0,0,0,1,1,200376.1204,226818.6636,254664.9698,284165.006,315063.3349,255024.1533,288678.2992,324119.0525,361664.5531,400989.699,2,0,1,1,0,0
LTAvg,Nass,0.57,2000,0,1,1,1,2,2,0,0,0,0,1,0,0,0,1,1,193313.0187,219233.7568,247098.8157,275512.7441,305949.9343,256252.1411,290612.1892,327549.5929,365214.5677,405561.5409,2,0,1,1,0,0
LTAvg,Nass,0.58,2000,0,1,1,1,2,2,0,0,0,0,1,0,0,0,1,1,185621.1138,211639.1215,238846.6563,266540.4793,297238.7573,256333.9191,292263.5488,329835.8587,368079.7096,410472.5696,2,0,1,1,0,1
